id	booktitle	filmtitle	winner	goodreads	imdb	metacritic	stevecount	crewcount
tt0062622	The Sentinel	2001: A Space Odyssey	tie	3.96	8.3	84	2	365
tt5606664	Doctor Sleep (The Shining, #2)	Doctor Sleep	tie	4.13	7.3	59	7	780
tt2798920	Annihilation (Southern Reach, #1)	Annihilation	tie	3.77	6.8	79	6	840
tt4016934	Fingersmith	The Handmaiden	tie	4.02	8.1	85	0	124
tt0088323	The Neverending Story	The NeverEnding Story	tie	4.18	7.3	46	4	287
tt1673434	Breaking Dawn (The Twilight Saga, #4)	The Twilight Saga: Breaking Dawn - Part 2	tie	3.74	5.5	52	22	1522
tt1325004	Eclipse (The Twilight Saga, #3)	The Twilight Saga: Eclipse	tie	3.73	5.1	58	11	816
tt0405296	A Scanner Darkly	A Scanner Darkly	tie	4.02	7	73	6	254
tt0388419	Skipping Christmas	Christmas with the Kranks	tie	3.55	5.5	22	11	544
tt0181689	The Minority Report	Minority Report	tie	3.84	7.6	80	29	1392
tt0107614	Madame Doubtfire	Mrs. Doubtfire	tie	3.61	7.1	54	12	325
tt0319061	Big Fish: A Novel of Mythic Proportions 	Big Fish	movie	3.68	8	58	13	640
